************************************************ 
* artmuse patient study 
* date/time: 
* seed: 207888.1674 
* subject #: 505 
* subject name: S2 
************************************************ 
 
trial	stimOnsetTime	exptCond	stimNum	cue	probe	valid	resp	corResp	Acc	RT	e_VArtH		e_VArtFA	e_VRoomH	e_VRoomFA	e_IVArtH	e_IVArtFA	e_IVRoomH	e_IVRoomFA	c_VArtH	c_VArtFA	c_VRoomH	c_VRoomFA	c_IVArtH	c_IVArtFA	c_IVRoomH	c_IVRoomFA 
1	2.006		1		29	1	1	1	1	0	0	1.227	NaN		1.00		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		 
2	10.304		1		57	1	1	1	1	1	1	1.395	1.00		1.00		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		 
3	18.755		0		45	1	2	0	1	1	1	1.911	1.00		1.00		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		1.00		NaN		 
4	27.722		0		32	1	1	1	1	0	0	1.412	1.00		1.00		NaN		NaN		NaN		NaN		NaN		NaN		NaN		1.00		NaN		NaN		NaN		NaN		1.00		NaN		 
5	36.205		1		40	1	1	1	1	1	1	1.980	1.00		1.00		NaN		NaN		NaN		NaN		NaN		NaN		NaN		1.00		NaN		NaN		NaN		NaN		1.00		NaN		 
6	45.238		0		46	1	1	1	0	0	1	1.670	1.00		1.00		NaN		NaN		NaN		NaN		NaN		NaN		NaN		0.50		NaN		NaN		NaN		NaN		1.00		NaN		 
7	53.955		0		64	1	1	1	1	1	1	2.185	1.00		1.00		NaN		NaN		NaN		NaN		NaN		NaN		1.00		0.50		NaN		NaN		NaN		NaN		1.00		NaN		 
8	63.205		1		62	1	2	0	0	0	1	1.357	1.00		1.00		NaN		NaN		NaN		NaN		NaN		0.00		1.00		0.50		NaN		NaN		NaN		NaN		1.00		NaN		 
9	71.605		1		36	1	1	1	0	0	1	1.970	1.00		0.50		NaN		NaN		NaN		NaN		NaN		0.00		1.00		0.50		NaN		NaN		NaN		NaN		1.00		NaN		 
10	80.621		1		7	1	2	0	0	1	0	3.000	1.00		0.50		NaN		NaN		NaN		NaN		0.00		0.00		1.00		0.50		NaN		NaN		NaN		NaN		1.00		NaN		 
11	98.238		1		65	2	1	0	1	1	1	4.691	1.00		0.50		NaN		NaN		1.00		NaN		0.00		0.00		1.00		0.50		NaN		NaN		NaN		NaN		1.00		NaN		 
12	109.969		1		20	2	2	1	1	0	0	1.398	1.00		0.50		NaN		1.00		1.00		NaN		0.00		0.00		1.00		0.50		NaN		NaN		NaN		NaN		1.00		NaN		 
13	118.437		0		30	2	2	1	0	0	1	1.641	1.00		0.50		NaN		1.00		1.00		NaN		0.00		0.00		1.00		0.50		NaN		0.00		NaN		NaN		1.00		NaN		 
14	127.137		1		49	2	2	1	0	0	1	1.485	1.00		0.50		NaN		0.50		1.00		NaN		0.00		0.00		1.00		0.50		NaN		0.00		NaN		NaN		1.00		NaN		 
15	135.687		0		39	2	1	0	0	0	1	3.137	1.00		0.50		NaN		0.50		1.00		NaN		0.00		0.00		1.00		0.50		NaN		0.00		NaN		0.00		1.00		NaN		 
16	145.887		0		63	2	2	1	1	1	1	1.639	1.00		0.50		NaN		0.50		1.00		NaN		0.00		0.00		1.00		0.50		1.00		0.00		NaN		0.00		1.00		NaN		 
17	154.569		1		8	2	2	1	0	1	0	2.386	1.00		0.50		0.00		0.50		1.00		NaN		0.00		0.00		1.00		0.50		1.00		0.00		NaN		0.00		1.00		NaN		 
18	164.012		0		13	2	2	1	0	0	1	2.009	1.00		0.50		0.00		0.50		1.00		NaN		0.00		0.00		1.00		0.50		1.00		0.00		NaN		0.00		1.00		NaN		 
19	173.070		0		50	2	1	0	1	0	0	2.136	1.00		0.50		0.00		0.50		1.00		NaN		0.00		0.00		1.00		0.50		1.00		0.00		NaN		0.50		1.00		NaN		 
20	182.252		1		41	2	1	0	0	0	1	1.875	1.00		0.50		0.00		0.50		1.00		0.00		0.00		0.00		1.00		0.50		1.00		0.00		NaN		0.50		1.00		NaN		 
21	197.137		0		47	1	1	1	1	1	1	1.189	1.00		0.50		0.00		0.50		1.00		0.00		0.00		0.00		1.00		0.50		1.00		0.00		NaN		0.50		1.00		NaN		 
22	205.385		0		66	1	2	0	1	1	1	1.449	1.00		0.50		0.00		0.50		1.00		0.00		0.00		0.00		1.00		0.50		1.00		0.00		NaN		0.50		1.00		NaN		 
23	213.903		0		25	1	1	1	0	0	1	1.670	1.00		0.50		0.00		0.50		1.00		0.00		0.00		0.00		1.00		0.33		1.00		0.00		NaN		0.50		1.00		NaN		 
24	222.637		0		14	1	1	1	1	1	1	1.127	1.00		0.50		0.00		0.50		1.00		0.00		0.00		0.00		1.00		0.33		1.00		0.00		NaN		0.50		1.00		NaN		 
25	230.819		0		37	1	1	1	1	0	0	6.488	1.00		0.50		0.00		0.50		1.00		0.00		0.00		0.00		1.00		0.50		1.00		0.00		NaN		0.50		1.00		NaN		 
26	244.353		1		4	1	1	1	0	1	0	1.537	0.67		0.50		0.00		0.50		1.00		0.00		0.00		0.00		1.00		0.50		1.00		0.00		NaN		0.50		1.00		NaN		 
